Student No,Name,Surname,Module,Grade
EDUV10111,Daniel,Lebotsa,Software Engineering,52.4
EDUV10112,Tshepo,Moodley,Python Programming,77.1
EDUV10113,Ethan,Thomas,Software Engineering,79.6
EDUV10114,Thando,Taylor,Cloud Computing,49.7
EDUV10115,Michael,Thomas,Database Systems,59.6
EDUV10116,Lindokuhle,Moore,Database Systems,64.1
EDUV10117,Liam,Brown,Database Systems,76.8
EDUV10118,Emma,Moore,Python Programming,43.4
EDUV10119,Thando,Brown,Computer Networks,62.0
EDUV10120,Mia,Anderson,Computer Networks,40.8
EDUV10121,Mia,Moore,Computer Networks,51.5
EDUV10122,Sophia,Williams,Python Programming,44.4
EDUV10123,Ethan,Moodley,Python Programming,74.4
EDUV10124,Tshepo,Smith,Cloud Computing,67.8
EDUV10125,Tshepo,Ndlovu,Database Systems,41.4
EDUV10126,David,Anderson,Python Programming,80.2
EDUV10127,John,Anderson,Computer Networks,63.0
EDUV10128,Lesego,Johnson,Python Programming,46.4
EDUV10129,Thando,Mdlalose,Computer Networks,61.6
EDUV10130,Tshepo,Jones,Python Programming,81.1
EDUV10131,Thando,Moore,Python Programming,48.5
EDUV10132,Noah,Ndlovu,Cloud Computing,36.2
EDUV10133,Lesego,Davis,Software Engineering,56.6
EDUV10134,Liam,Anderson,Database Systems,55.7
EDUV10135,Ethan,Johnson,Python Programming,60.5
EDUV10136,Lusanda,Williams,Cloud Computing,71.4
EDUV10137,Lesego,Davis,Database Systems,76.7
EDUV10138,Lusanda,Davis,Computer Networks,81.7
EDUV10139,Kgosi,Thomas,Computer Networks,77.2
EDUV10140,Noah,Smith,Database Systems,45.8
EDUV10141,Khanyisile,Davis,Cloud Computing,55.8
EDUV10142,Sophia,Lebotsa,Python Programming,55.7
EDUV10143,John,Davis,Cloud Computing,50.1
EDUV10144,Daniel,Miller,Software Engineering,74.9
EDUV10145,Lusanda,Anderson,Software Engineering,72.6
EDUV10146,Lindokuhle,Davis,Database Systems,79.2
EDUV10147,Lusanda,Ndlovu,Computer Networks,76.2
EDUV10148,Khanyisile,Ndlovu,Python Programming,79.3
EDUV10149,Tshepo,Jones,Database Systems,55.8
EDUV10150,James,Lebotsa,Software Engineering,69.5
EDUV10151,Thando,Moore,Cloud Computing,86.0
EDUV10152,James,Mdlalose,Software Engineering,59.6
EDUV10153,Ethan,Miller,Computer Networks,67.9
EDUV10154,James,Moodley,Software Engineering,74.5
EDUV10155,Noah,Lebotsa,Cloud Computing,84.9
EDUV10156,Emma,Jones,Computer Networks,73.6
EDUV10157,David,Jones,Computer Networks,77.1
EDUV10158,Kgosi,Williams,Software Engineering,78.9
EDUV10159,Liam,Mdlalose,Software Engineering,57.7
EDUV10160,Rivoningo,Jones,Python Programming,63.3
EDUV10161,James,Johnson,Python Programming,61.0
EDUV10162,Rivoningo,Lebotsa,Software Engineering,45.7
EDUV10163,James,Mdlalose,Python Programming,52.8
EDUV10164,Olivia,Taylor,Software Engineering,61.0
EDUV10165,Lusanda,Mdlalose,Database Systems,58.9
EDUV10166,Mia,Moore,Software Engineering,48.3
EDUV10167,Noah,Brown,Python Programming,42.9
EDUV10168,Ava,Ndlovu,Cloud Computing,44.9
EDUV10169,Lucas,Moodley,Cloud Computing,74.7
EDUV10170,Mia,Moore,Computer Networks,38.6
EDUV10171,Ethan,Taylor,Software Engineering,33.5
EDUV10172,Sophia,Moore,Computer Networks,64.0
EDUV10173,Khanyisile,Davis,Software Engineering,72.4
EDUV10174,Mia,Moodley,Software Engineering,63.0
EDUV10175,Mia,Wilson,Software Engineering,71.3
EDUV10176,Ava,Williams,Python Programming,44.9
EDUV10177,Kgosi,Taylor,Cloud Computing,50.0
EDUV10178,Thando,Moore,Cloud Computing,70.8
EDUV10179,David,Jones,Cloud Computing,40.8
EDUV10180,Ava,Johnson,Software Engineering,42.1
EDUV10181,Daniel,Williams,Database Systems,64.4
EDUV10182,Olivia,Lebotsa,Cloud Computing,72.9
EDUV10183,Kgosi,Thomas,Software Engineering,57.3
EDUV10184,Sophia,Mdlalose,Software Engineering,48.4
EDUV10185,David,Anderson,Computer Networks,53.0
EDUV10186,Michael,Johnson,Python Programming,78.0
EDUV10187,Thando,Thomas,Cloud Computing,45.2
EDUV10188,Lesego,Moore,Database Systems,73.3
EDUV10189,Lindokuhle,Thomas,Software Engineering,80.2
EDUV10190,Kgosi,Thomas,Computer Networks,65.6
EDUV10191,Ethan,Jones,Database Systems,60.7
EDUV10192,Lusanda,Williams,Python Programming,69.6
EDUV10193,Emma,Mdlalose,Database Systems,56.1
EDUV10194,Sophia,Jones,Computer Networks,58.5
EDUV10195,Liam,Ndlovu,Software Engineering,52.2
EDUV10196,Tshepo,Anderson,Software Engineering,60.2
EDUV10197,Daniel,Moore,Computer Networks,70.6
EDUV10198,Mia,Lebotsa,Database Systems,45.2
EDUV10199,Mia,Williams,Computer Networks,52.5
EDUV10200,Mia,Ndlovu,Cloud Computing,34.0
EDUV10201,Liam,Taylor,Cloud Computing,76.9
EDUV10202,Noah,Miller,Cloud Computing,69.1
EDUV10203,Kgosi,Moore,Software Engineering,62.6
EDUV10204,Mia,Jones,Software Engineering,63.8
EDUV10205,Lindokuhle,Moore,Computer Networks,90.7
EDUV10206,Khanyisile,Ndlovu,Software Engineering,41.5
EDUV10207,Sarah,Moore,Computer Networks,51.6
EDUV10208,Noah,Wilson,Computer Networks,83.7
EDUV10209,Sophia,Moodley,Database Systems,56.5
EDUV10210,Thando,Williams,Python Programming,57.9
EDUV10211,James,Lebotsa,Computer Networks,60.9
EDUV10212,Mia,Smith,Software Engineering,75.6
EDUV10213,James,Miller,Computer Networks,53.1
EDUV10214,Thando,Wilson,Software Engineering,62.6
EDUV10215,Ava,Mdlalose,Computer Networks,67.8
EDUV10216,Lindokuhle,Mdlalose,Computer Networks,45.5
EDUV10217,Olivia,Miller,Database Systems,57.1
EDUV10218,David,Lebotsa,Computer Networks,61.7
EDUV10219,Tshepo,Smith,Computer Networks,71.7
EDUV10220,Mia,Miller,Computer Networks,44.4
EDUV10221,John,Moodley,Computer Networks,40.8
EDUV10222,Ethan,Williams,Python Programming,41.1
EDUV10223,Ava,Williams,Cloud Computing,63.3
EDUV10224,David,Lebotsa,Software Engineering,69.1
EDUV10225,David,Wilson,Database Systems,80.2
EDUV10226,Mia,Moore,Computer Networks,84.0
EDUV10227,Mia,Thomas,Computer Networks,58.7
EDUV10228,Lesego,Brown,Computer Networks,77.1
EDUV10229,Mia,Taylor,Software Engineering,64.9
EDUV10230,Rivoningo,Johnson,Computer Networks,59.7
EDUV10231,Daniel,Wilson,Cloud Computing,62.7
EDUV10232,Tshepo,Williams,Computer Networks,44.7
EDUV10233,Ethan,Brown,Software Engineering,50.0
EDUV10234,John,Brown,Software Engineering,48.4
EDUV10235,John,Mdlalose,Computer Networks,32.3
EDUV10236,Mia,Smith,Computer Networks,79.2
EDUV10237,Daniel,Jones,Cloud Computing,56.3
EDUV10238,Mia,Lebotsa,Software Engineering,54.4
EDUV10239,Sophia,Lebotsa,Software Engineering,41.9
EDUV10240,Noah,Davis,Database Systems,46.4
EDUV10241,Noah,Miller,Cloud Computing,50.3
EDUV10242,Lusanda,Ndlovu,Python Programming,62.0
EDUV10243,Michael,Johnson,Cloud Computing,67.8
EDUV10244,Lusanda,Davis,Computer Networks,63.5
EDUV10245,Rivoningo,Johnson,Software Engineering,38.4
EDUV10246,Lesego,Davis,Python Programming,65.7
EDUV10247,Tshepo,Lebotsa,Python Programming,47.4
EDUV10248,Sarah,Smith,Software Engineering,60.1
EDUV10249,Lucas,Taylor,Database Systems,69.8
EDUV10250,Lusanda,Moodley,Cloud Computing,82.4
EDUV10251,Sarah,Williams,Software Engineering,56.5
EDUV10252,John,Mdlalose,Cloud Computing,66.7
EDUV10253,James,Wilson,Database Systems,53.5
EDUV10254,David,Taylor,Software Engineering,40.0
EDUV10255,Mia,Wilson,Computer Networks,71.0
EDUV10256,Lesego,Miller,Database Systems,82.7
EDUV10257,Liam,Miller,Computer Networks,45.4
EDUV10258,Michael,Wilson,Python Programming,47.3
EDUV10259,Sarah,Thomas,Python Programming,60.4
EDUV10260,Lusanda,Moodley,Cloud Computing,51.7
EDUV10261,Lindokuhle,Davis,Python Programming,56.1
EDUV10262,Ava,Mdlalose,Database Systems,69.1
EDUV10263,Ava,Thomas,Software Engineering,56.9
EDUV10264,Ethan,Wilson,Computer Networks,72.5
EDUV10265,Thando,Mdlalose,Cloud Computing,45.3
EDUV10266,Ava,Smith,Cloud Computing,71.5
EDUV10267,James,Smith,Computer Networks,45.7
EDUV10268,Tshepo,Moore,Computer Networks,44.4
EDUV10269,James,Moodley,Python Programming,85.0
EDUV10270,Lucas,Miller,Computer Networks,64.2
EDUV10271,James,Moodley,Python Programming,37.3
EDUV10272,Tshepo,Williams,Software Engineering,49.1
EDUV10273,Noah,Lebotsa,Python Programming,50.2
EDUV10274,Lesego,Miller,Cloud Computing,43.5
EDUV10275,Sarah,Taylor,Python Programming,53.2
EDUV10276,Lusanda,Johnson,Computer Networks,71.1
EDUV10277,Sarah,Mdlalose,Database Systems,68.6
EDUV10278,Ethan,Smith,Python Programming,74.8
EDUV10279,Lesego,Smith,Software Engineering,78.7
EDUV10280,David,Moore,Cloud Computing,75.3
EDUV10281,Khanyisile,Moore,Python Programming,53.1
EDUV10282,Lesego,Miller,Database Systems,66.4
EDUV10283,Thando,Lebotsa,Cloud Computing,57.6
EDUV10284,Ava,Lebotsa,Cloud Computing,62.5
EDUV10285,Noah,Anderson,Database Systems,65.0
EDUV10286,John,Moore,Software Engineering,87.7
EDUV10287,John,Moodley,Computer Networks,55.2
EDUV10288,Daniel,Moore,Python Programming,66.1
EDUV10289,Lusanda,Jones,Database Systems,59.6
EDUV10290,Emma,Brown,Computer Networks,59.8
EDUV10291,Sarah,Davis,Cloud Computing,53.1
EDUV10292,Ava,Anderson,Software Engineering,59.3
EDUV10293,Olivia,Davis,Software Engineering,51.3
EDUV10294,Sophia,Ndlovu,Cloud Computing,79.2
EDUV10295,Lucas,Ndlovu,Computer Networks,75.6
EDUV10296,Sophia,Thomas,Database Systems,69.6
EDUV10297,Tshepo,Smith,Python Programming,59.4
EDUV10298,John,Ndlovu,Database Systems,32.7
EDUV10299,Michael,Brown,Software Engineering,57.3
EDUV10300,Tshepo,Lebotsa,Database Systems,71.6
EDUV10301,Lucas,Thomas,Database Systems,49.0
EDUV10302,Ava,Davis,Software Engineering,71.8
EDUV10303,Liam,Jones,Database Systems,78.9
EDUV10304,Rivoningo,Anderson,Database Systems,49.7
EDUV10305,Sophia,Johnson,Python Programming,42.9
EDUV10306,Kgosi,Taylor,Cloud Computing,44.5
EDUV10307,Rivoningo,Jones,Database Systems,54.5
EDUV10308,Olivia,Taylor,Cloud Computing,50.4
EDUV10309,Ava,Thomas,Cloud Computing,70.6
EDUV10310,Noah,Davis,Computer Networks,47.4
EDUV10311,Emma,Brown,Computer Networks,45.7
EDUV10312,Rivoningo,Lebotsa,Computer Networks,68.7
EDUV10313,Lindokuhle,Williams,Computer Networks,55.9
EDUV10314,Khanyisile,Brown,Software Engineering,46.5
EDUV10315,David,Davis,Cloud Computing,53.9
EDUV10316,James,Moore,Cloud Computing,66.4
EDUV10317,Sophia,Jones,Database Systems,86.4
EDUV10318,Thando,Miller,Database Systems,55.8
EDUV10319,Rivoningo,Lebotsa,Python Programming,85.8
EDUV10320,Lusanda,Mdlalose,Software Engineering,69.8
EDUV10321,Ethan,Moodley,Cloud Computing,67.7
EDUV10322,Kgosi,Thomas,Computer Networks,55.8
EDUV10323,John,Wilson,Software Engineering,54.3
EDUV10324,Kgosi,Thomas,Database Systems,75.3
EDUV10325,David,Mdlalose,Database Systems,72.6
EDUV10326,Lindokuhle,Davis,Database Systems,31.8
EDUV10327,Kgosi,Thomas,Python Programming,51.8
EDUV10328,John,Davis,Cloud Computing,65.1
EDUV10329,Rivoningo,Moodley,Python Programming,64.5
EDUV10330,Sophia,Brown,Computer Networks,37.6
EDUV10331,Tshepo,Miller,Database Systems,50.9
EDUV10332,John,Jones,Software Engineering,52.5
EDUV10333,James,Williams,Database Systems,82.8
EDUV10334,Thando,Wilson,Database Systems,67.8
EDUV10335,Thando,Moodley,Python Programming,61.7
EDUV10336,Rivoningo,Miller,Cloud Computing,41.6
EDUV10337,Sarah,Anderson,Python Programming,47.3
EDUV10338,Ethan,Moodley,Python Programming,50.7
EDUV10339,Sarah,Ndlovu,Database Systems,52.4
EDUV10340,Ava,Williams,Cloud Computing,77.2
EDUV10341,Liam,Wilson,Database Systems,57.5
EDUV10342,Sophia,Moore,Computer Networks,68.4
EDUV10343,John,Moore,Computer Networks,80.6
EDUV10344,John,Moodley,Database Systems,61.9
EDUV10345,Emma,Thomas,Cloud Computing,61.9
EDUV10346,Daniel,Brown,Software Engineering,56.4
EDUV10347,Tshepo,Ndlovu,Computer Networks,54.4
EDUV10348,Lindokuhle,Brown,Software Engineering,50.2
EDUV10349,Rivoningo,Thomas,Cloud Computing,45.2
EDUV10350,Liam,Mdlalose,Software Engineering,64.5
EDUV10351,Khanyisile,Brown,Database Systems,62.9
EDUV10352,Khanyisile,Brown,Database Systems,64.9
EDUV10353,Lesego,Williams,Database Systems,74.8
EDUV10354,Tshepo,Miller,Computer Networks,66.8
EDUV10355,Daniel,Wilson,Python Programming,69.5
EDUV10356,Sarah,Jones,Cloud Computing,48.9
EDUV10357,Olivia,Johnson,Python Programming,72.5
EDUV10358,David,Moodley,Cloud Computing,56.5
EDUV10359,David,Miller,Cloud Computing,51.1
EDUV10360,Mia,Moodley,Computer Networks,62.7
EDUV10361,Tshepo,Moodley,Software Engineering,74.7
EDUV10362,Khanyisile,Ndlovu,Python Programming,87.1
EDUV10363,James,Mdlalose,Database Systems,65.8
EDUV10364,Lesego,Thomas,Software Engineering,42.1
EDUV10365,Daniel,Jones,Computer Networks,70.1
EDUV10366,Lesego,Moore,Database Systems,71.6
EDUV10367,Tshepo,Smith,Database Systems,48.3
EDUV10368,Khanyisile,Miller,Database Systems,82.5
EDUV10369,Khanyisile,Wilson,Computer Networks,76.6
EDUV10370,Emma,Wilson,Computer Networks,74.0
EDUV10371,Olivia,Thomas,Software Engineering,54.8
EDUV10372,Ethan,Wilson,Software Engineering,73.2
EDUV10373,Lindokuhle,Williams,Database Systems,48.2
EDUV10374,Michael,Miller,Computer Networks,69.7
EDUV10375,Sophia,Smith,Database Systems,42.6
EDUV10376,Khanyisile,Williams,Computer Networks,55.3
EDUV10377,Lucas,Taylor,Software Engineering,57.4
EDUV10378,Sophia,Johnson,Software Engineering,55.0
EDUV10379,Michael,Taylor,Python Programming,45.5
EDUV10380,Daniel,Taylor,Computer Networks,48.4
EDUV10381,Kgosi,Wilson,Computer Networks,64.1
EDUV10382,Thando,Davis,Database Systems,53.7
EDUV10383,David,Moodley,Python Programming,80.9
EDUV10384,Olivia,Lebotsa,Cloud Computing,65.2
EDUV10385,Emma,Thomas,Cloud Computing,59.3
EDUV10386,John,Thomas,Database Systems,64.0
EDUV10387,Rivoningo,Moodley,Database Systems,45.3
EDUV10388,Ava,Mdlalose,Cloud Computing,47.4
EDUV10389,Mia,Taylor,Computer Networks,60.5
EDUV10390,Ethan,Jones,Database Systems,78.2
EDUV10391,Emma,Jones,Computer Networks,45.9
EDUV10392,Lucas,Jones,Database Systems,81.7
EDUV10393,Emma,Anderson,Database Systems,69.5
EDUV10394,Thando,Taylor,Python Programming,79.4
EDUV10395,John,Johnson,Computer Networks,43.6
EDUV10396,Ava,Johnson,Cloud Computing,73.5
EDUV10397,Khanyisile,Ndlovu,Software Engineering,56.7
EDUV10398,Khanyisile,Johnson,Software Engineering,72.5
EDUV10399,Khanyisile,Ndlovu,Cloud Computing,75.6
EDUV10400,Ava,Ndlovu,Cloud Computing,84.5
EDUV10401,Thando,Taylor,Software Engineering,70.5
EDUV10402,Daniel,Brown,Software Engineering,68.1
EDUV10403,Emma,Davis,Cloud Computing,64.3
EDUV10404,Lucas,Ndlovu,Python Programming,67.4
EDUV10405,Ava,Lebotsa,Cloud Computing,51.4
EDUV10406,Ethan,Johnson,Software Engineering,58.7
EDUV10407,Olivia,Wilson,Database Systems,59.9
EDUV10408,Noah,Brown,Database Systems,31.3
EDUV10409,Olivia,Davis,Software Engineering,63.7
EDUV10410,Liam,Jones,Computer Networks,71.0
EDUV10411,Michael,Thomas,Python Programming,60.0
EDUV10412,Liam,Anderson,Python Programming,85.8
EDUV10413,Lucas,Williams,Cloud Computing,51.3
EDUV10414,Noah,Moore,Software Engineering,75.8
EDUV10415,Lusanda,Wilson,Software Engineering,40.3
EDUV10416,Liam,Moodley,Database Systems,45.9
EDUV10417,Emma,Thomas,Database Systems,49.4
EDUV10418,Olivia,Taylor,Python Programming,57.2
EDUV10419,Lindokuhle,Lebotsa,Cloud Computing,50.9
EDUV10420,Lindokuhle,Smith,Python Programming,69.1
EDUV10421,James,Taylor,Database Systems,63.1
EDUV10422,Lusanda,Miller,Software Engineering,41.2
EDUV10423,Daniel,Brown,Database Systems,44.0
EDUV10424,John,Miller,Cloud Computing,54.7
EDUV10425,Lusanda,Anderson,Database Systems,49.1
EDUV10426,Olivia,Williams,Python Programming,65.1
EDUV10427,Emma,Davis,Computer Networks,55.9
EDUV10428,Sarah,Williams,Cloud Computing,62.9
EDUV10429,Tshepo,Davis,Software Engineering,59.9
EDUV10430,Daniel,Anderson,Software Engineering,45.5
EDUV10431,Noah,Anderson,Computer Networks,75.4
EDUV10432,Lindokuhle,Taylor,Cloud Computing,39.2
EDUV10433,David,Thomas,Software Engineering,84.5
EDUV10434,Sophia,Taylor,Software Engineering,55.7
EDUV10435,John,Smith,Software Engineering,71.1
EDUV10436,Sophia,Davis,Cloud Computing,39.1
EDUV10437,Noah,Ndlovu,Software Engineering,62.0
EDUV10438,Mia,Taylor,Database Systems,54.7
EDUV10439,Noah,Taylor,Cloud Computing,51.7
EDUV10440,Olivia,Mdlalose,Cloud Computing,67.7
EDUV10441,James,Ndlovu,Cloud Computing,38.3
EDUV10442,Olivia,Thomas,Software Engineering,64.8
EDUV10443,Thando,Taylor,Computer Networks,70.4
EDUV10444,James,Wilson,Python Programming,66.0
EDUV10445,Lesego,Anderson,Software Engineering,57.5
EDUV10446,Ava,Miller,Computer Networks,70.2
EDUV10447,Sarah,Anderson,Computer Networks,72.3
EDUV10448,John,Johnson,Cloud Computing,52.6
EDUV10449,Mia,Anderson,Cloud Computing,74.3
EDUV10450,Rivoningo,Smith,Software Engineering,59.4
EDUV10451,Rivoningo,Davis,Computer Networks,61.4
EDUV10452,Noah,Wilson,Computer Networks,59.5
EDUV10453,Daniel,Moore,Database Systems,53.3
EDUV10454,Thando,Miller,Software Engineering,65.9
EDUV10455,John,Moore,Cloud Computing,59.6
EDUV10456,Lesego,Taylor,Python Programming,71.5
EDUV10457,James,Mdlalose,Cloud Computing,71.5
EDUV10458,Ava,Wilson,Cloud Computing,72.5
EDUV10459,Lesego,Brown,Cloud Computing,67.1
EDUV10460,Kgosi,Williams,Cloud Computing,76.4
EDUV10461,Liam,Johnson,Cloud Computing,66.9
EDUV10462,Emma,Ndlovu,Cloud Computing,46.8
EDUV10463,Lusanda,Davis,Python Programming,40.1
EDUV10464,Lusanda,Mdlalose,Computer Networks,69.4
EDUV10465,Khanyisile,Jones,Database Systems,65.0
EDUV10466,Olivia,Brown,Database Systems,42.9
EDUV10467,Khanyisile,Brown,Python Programming,40.0
EDUV10468,David,Anderson,Cloud Computing,60.1
EDUV10469,Mia,Lebotsa,Software Engineering,87.3
EDUV10470,David,Wilson,Database Systems,37.2
EDUV10471,Michael,Ndlovu,Software Engineering,65.3
EDUV10472,Sophia,Ndlovu,Computer Networks,55.4
EDUV10473,Khanyisile,Smith,Database Systems,74.8
EDUV10474,Emma,Thomas,Database Systems,50.6
EDUV10475,Thando,Lebotsa,Python Programming,54.4
EDUV10476,Emma,Davis,Computer Networks,75.2
EDUV10477,Emma,Anderson,Database Systems,90.9
EDUV10478,Noah,Jones,Python Programming,59.5
EDUV10479,Olivia,Jones,Software Engineering,64.4
EDUV10480,Rivoningo,Miller,Database Systems,65.2
EDUV10481,John,Lebotsa,Software Engineering,56.4
EDUV10482,Ethan,Anderson,Cloud Computing,85.8
EDUV10483,Lindokuhle,Davis,Software Engineering,52.3
EDUV10484,Sophia,Wilson,Computer Networks,83.3
EDUV10485,Mia,Smith,Database Systems,37.6
EDUV10486,Noah,Williams,Database Systems,89.3
EDUV10487,Lindokuhle,Moodley,Computer Networks,40.2
EDUV10488,James,Moodley,Database Systems,56.7
EDUV10489,David,Anderson,Database Systems,45.9
EDUV10490,Emma,Williams,Database Systems,79.3
EDUV10491,Liam,Davis,Computer Networks,62.5
EDUV10492,Kgosi,Johnson,Cloud Computing,60.4
EDUV10493,Tshepo,Moore,Computer Networks,59.1
EDUV10494,Ethan,Lebotsa,Software Engineering,70.9
EDUV10495,Tshepo,Miller,Software Engineering,75.9
EDUV10496,Ava,Taylor,Software Engineering,44.2
EDUV10497,Thando,Moodley,Python Programming,73.0
EDUV10498,Olivia,Taylor,Software Engineering,76.7
EDUV10499,Lucas,Ndlovu,Python Programming,70.5
EDUV10500,Emma,Brown,Software Engineering,41.5
EDUV10501,John,Lebotsa,Cloud Computing,61.9
EDUV10502,Tshepo,Moore,Database Systems,63.4
EDUV10503,Michael,Lebotsa,Computer Networks,72.2
